"clump","chrom","minBP","maxBP","variable","value","fisherLogP","Phenotype","DAP","Treatment","Experiment","clumpCenter"
94,1,40417387,40502525,"WUE.resid.constant_wet_13_fisherPclump",7.38215341424018e-08,7.13181693363702,"WUE.resid.constant",13,"wet","IB005toIB008",40459956
8608,2,3992421,3992444,"WUE.resid.constant_wet_13_fisherPclump",6.19603389393603e-11,10.2078862152012,"WUE.resid.constant",13,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"WUE.resid.constant_wet_13_fisherPclump",4.38045458209955e-10,9.3584808182052,"WUE.resid.constant",13,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"WUE.resid.constant_wet_13_fisherPclump",5.57228287002981e-09,8.25396684526766,"WUE.resid.constant",13,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"WUE.resid.constant_wet_13_fisherPclump",5.24365591671982e-08,7.2803658140019,"WUE.resid.constant",13,"wet","IB005toIB008",3461828
23329,4,4365698,4387759,"WUE.resid.constant_wet_13_fisherPclump",9.19286260281732e-08,7.03654923083121,"WUE.resid.constant",13,"wet","IB005toIB008",4376728
23336,4,3462114,3462471,"WUE.resid.constant_wet_13_fisherPclump",1.32095546674044e-08,7.87911182347169,"WUE.resid.constant",13,"wet","IB005toIB008",3462292
23426,4,3514956,3514956,"WUE.resid.constant_wet_13_fisherPclump",2.63570434328813e-08,7.5791033077654,"WUE.resid.constant",13,"wet","IB005toIB008",3514956
23446,4,4023352,4209928,"WUE.resid.constant_wet_13_fisherPclump",8.99632819487871e-11,10.0459347094586,"WUE.resid.constant",13,"wet","IB005toIB008",4116640
23701,4,4197042,4209031,"WUE.resid.constant_wet_13_fisherPclump",9.45731689439955e-09,8.02423205844354,"WUE.resid.constant",13,"wet","IB005toIB008",4203036
23846,4,2369811,2445523,"WUE.resid.constant_wet_13_fisherPclump",6.31136300957687e-08,7.19987683986608,"WUE.resid.constant",13,"wet","IB005toIB008",2407667
8608,2,3992421,3992444,"WUE.resid.constant_dry_13_fisherPclump",1.95172825900634e-09,8.70958064969668,"WUE.resid.constant",13,"dry","IB005toIB008",3992432
51620,8,37212210,37521730,"WUE.resid.constant_dry_13_fisherPclump",1.67596712938346e-08,7.77573450340704,"WUE.resid.constant",13,"dry","IB005toIB008",37366970
39,1,14188681,14374252,"WUE.resid.constant_wet_14_fisherPclump",9.9407351947282e-08,7.00258149495819,"WUE.resid.constant",14,"wet","IB005toIB008",14281466
94,1,40417387,40502525,"WUE.resid.constant_wet_14_fisherPclump",9.41896824840585e-08,7.02599666711844,"WUE.resid.constant",14,"wet","IB005toIB008",40459956
8608,2,3992421,3992444,"WUE.resid.constant_wet_14_fisherPclump",9.70688658743478e-10,9.01292004452227,"WUE.resid.constant",14,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"WUE.resid.constant_wet_14_fisherPclump",9.6594119733809e-10,9.0150493109022,"WUE.resid.constant",14,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"WUE.resid.constant_wet_14_fisherPclump",7.68004621352542e-08,7.11463616665876,"WUE.resid.constant",14,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"WUE.resid.constant_wet_14_fisherPclump",3.82312244334946e-08,7.41758179258535,"WUE.resid.constant",14,"wet","IB005toIB008",3461828
23336,4,3462114,3462471,"WUE.resid.constant_wet_14_fisherPclump",9.93265280002593e-09,8.00293474520563,"WUE.resid.constant",14,"wet","IB005toIB008",3462292
23426,4,3514956,3514956,"WUE.resid.constant_wet_14_fisherPclump",2.41001749393095e-08,7.61797980493961,"WUE.resid.constant",14,"wet","IB005toIB008",3514956
23446,4,4023352,4209928,"WUE.resid.constant_wet_14_fisherPclump",2.99463250402344e-08,7.52365646585141,"WUE.resid.constant",14,"wet","IB005toIB008",4116640
23623,4,3140701,3142657,"WUE.resid.constant_wet_14_fisherPclump",4.91138886722774e-08,7.30879567853277,"WUE.resid.constant",14,"wet","IB005toIB008",3141679
8608,2,3992421,3992444,"WUE.resid.constant_dry_14_fisherPclump",6.30070585665707e-08,7.2006107945973,"WUE.resid.constant",14,"dry","IB005toIB008",3992432
50062,8,12588817,13073565,"WUE.resid.constant_dry_14_fisherPclump",5.43973567978728e-08,7.26442220243394,"WUE.resid.constant",14,"dry","IB005toIB008",12831191
50116,8,12587833,13027367,"WUE.resid.constant_dry_14_fisherPclump",6.79709048060939e-08,7.16767694885546,"WUE.resid.constant",14,"dry","IB005toIB008",12807600
50153,8,12736185,13134849,"WUE.resid.constant_dry_14_fisherPclump",5.68023711262443e-08,7.24563353496591,"WUE.resid.constant",14,"dry","IB005toIB008",12935517
39,1,14188681,14374252,"WUE.resid.constant_wet_15_fisherPclump",3.03901592379275e-08,7.517267024304,"WUE.resid.constant",15,"wet","IB005toIB008",14281466
94,1,40417387,40502525,"WUE.resid.constant_wet_15_fisherPclump",1.7753212562091e-08,7.75072304701756,"WUE.resid.constant",15,"wet","IB005toIB008",40459956
1590,1,25717280,25751319,"WUE.resid.constant_wet_15_fisherPclump",9.68613640816243e-08,7.01384941915329,"WUE.resid.constant",15,"wet","IB005toIB008",25734300
7376,2,2757620,2805421,"WUE.resid.constant_wet_15_fisherPclump",4.7484147011646e-08,7.3234513591019,"WUE.resid.constant",15,"wet","IB005toIB008",2781520
8608,2,3992421,3992444,"WUE.resid.constant_wet_15_fisherPclump",1.54481418744643e-09,8.81112375068555,"WUE.resid.constant",15,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"WUE.resid.constant_wet_15_fisherPclump",2.39996130147764e-09,8.61979576107598,"WUE.resid.constant",15,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"WUE.resid.constant_wet_15_fisherPclump",3.31497233442601e-10,9.47952009171057,"WUE.resid.constant",15,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"WUE.resid.constant_wet_15_fisherPclump",4.32008115008311e-09,8.36450809515215,"WUE.resid.constant",15,"wet","IB005toIB008",3461828
23325,4,3775716,3776438,"WUE.resid.constant_wet_15_fisherPclump",6.19405301243696e-08,7.20802508200953,"WUE.resid.constant",15,"wet","IB005toIB008",3776077
23336,4,3462114,3462471,"WUE.resid.constant_wet_15_fisherPclump",5.14141079278751e-09,8.28891769511887,"WUE.resid.constant",15,"wet","IB005toIB008",3462292
23355,4,3441302,3537478,"WUE.resid.constant_wet_15_fisherPclump",1.48660838956341e-08,7.82780342061768,"WUE.resid.constant",15,"wet","IB005toIB008",3489390
23426,4,3514956,3514956,"WUE.resid.constant_wet_15_fisherPclump",6.65324911978938e-08,7.17696621481875,"WUE.resid.constant",15,"wet","IB005toIB008",3514956
23446,4,4023352,4209928,"WUE.resid.constant_wet_15_fisherPclump",2.91302292460818e-08,7.53565609759284,"WUE.resid.constant",15,"wet","IB005toIB008",4116640
23456,4,32785823,32785900,"WUE.resid.constant_wet_15_fisherPclump",2.00001578179427e-08,7.69896657737646,"WUE.resid.constant",15,"wet","IB005toIB008",32785862
23542,4,3139845,3140237,"WUE.resid.constant_wet_15_fisherPclump",3.98608018459366e-08,7.39945396921398,"WUE.resid.constant",15,"wet","IB005toIB008",3140041
23623,4,3140701,3142657,"WUE.resid.constant_wet_15_fisherPclump",4.1826284542865e-09,8.37855071237844,"WUE.resid.constant",15,"wet","IB005toIB008",3141679
42937,7,33380004,33676866,"WUE.resid.constant_wet_15_fisherPclump",8.16093535640498e-08,7.08826006222099,"WUE.resid.constant",15,"wet","IB005toIB008",33528435
45404,7,34054605,34066557,"WUE.resid.constant_wet_15_fisherPclump",5.80678576258329e-08,7.23606419667104,"WUE.resid.constant",15,"wet","IB005toIB008",34060581
36323,6,7669722,7831605,"avg.sv.height_dry_10_fisherPclump",1.47537255518885e-08,7.83109829952811,"avg.sv.height",10,"dry","IB005toIB008",7750664
38048,6,7832609,7838919,"avg.sv.height_dry_10_fisherPclump",4.66301020137458e-08,7.33133363442845,"avg.sv.height",10,"dry","IB005toIB008",7835764
43093,7,19037457,19256504,"avg.sv.height_dry_10_fisherPclump",6.57843355320279e-08,7.18187750763068,"avg.sv.height",10,"dry","IB005toIB008",19146980
43173,7,26130968,26268400,"avg.sv.height_dry_10_fisherPclump",8.8202530072559e-08,7.05451895703608,"avg.sv.height",10,"dry","IB005toIB008",26199684
58958,9,16041779,16449499,"avg.sv.height_wet_10_fisherPclump",2.82376425135528e-08,7.54917156420993,"avg.sv.height",10,"wet","IB005toIB008",16245639
7236,2,396394,514157,"avg.sv.height_dry_11_fisherPclump",4.70483110228444e-08,7.32745596260069,"avg.sv.height",11,"dry","IB005toIB008",455276
39,1,14188681,14374252,"avg.sv.height_wet_11_fisherPclump",3.15701960940326e-08,7.50072272053756,"avg.sv.height",11,"wet","IB005toIB008",14281466
7227,2,178348,400138,"avg.sv.height_wet_11_fisherPclump",1.9194459913679e-09,8.71682410338554,"avg.sv.height",11,"wet","IB005toIB008",289243
7400,2,1368810,1622335,"avg.sv.height_wet_11_fisherPclump",2.28764496665417e-08,7.64061137541534,"avg.sv.height",11,"wet","IB005toIB008",1495572
7616,2,1534535,1663068,"avg.sv.height_wet_11_fisherPclump",8.69154573239398e-08,7.06090298035774,"avg.sv.height",11,"wet","IB005toIB008",1598802
7710,2,1536623,1900060,"avg.sv.height_wet_11_fisherPclump",7.73222078474922e-09,8.11169575368263,"avg.sv.height",11,"wet","IB005toIB008",1718342
7778,2,1816602,2021580,"avg.sv.height_wet_11_fisherPclump",6.05949608559233e-09,8.21756349074232,"avg.sv.height",11,"wet","IB005toIB008",1919091
8063,2,1557781,1722132,"avg.sv.height_wet_11_fisherPclump",2.13601561411252e-08,7.67039557697208,"avg.sv.height",11,"wet","IB005toIB008",1639956
9071,2,1868450,1935074,"avg.sv.height_wet_11_fisherPclump",1.04102170538417e-08,7.98254021532107,"avg.sv.height",11,"wet","IB005toIB008",1901762
11518,2,1574428,1665380,"avg.sv.height_wet_11_fisherPclump",7.43689750352918e-08,7.12860820398494,"avg.sv.height",11,"wet","IB005toIB008",1619904
28778,5,5897146,5928214,"avg.sv.height_wet_11_fisherPclump",3.53527665856295e-10,9.45157659414832,"avg.sv.height",11,"wet","IB005toIB008",5912680
28781,5,5818942,5908513,"avg.sv.height_wet_11_fisherPclump",4.68953884919532e-08,7.32886986199635,"avg.sv.height",11,"wet","IB005toIB008",5863728
28782,5,5894348,5909364,"avg.sv.height_wet_11_fisherPclump",7.67578648197008e-08,7.11487711457647,"avg.sv.height",11,"wet","IB005toIB008",5901856
29753,5,5937013,5975925,"avg.sv.height_wet_11_fisherPclump",8.69811407127793e-08,7.0605749010853,"avg.sv.height",11,"wet","IB005toIB008",5956469
1,1,11078173,11078575,"avg.sv.height_wet_12_fisherPclump",7.57177802755331e-08,7.12080212619553,"avg.sv.height",12,"wet","IB005toIB008",11078374
8,1,5561476,5961312,"avg.sv.height_wet_12_fisherPclump",7.46727852885532e-08,7.12683764922231,"avg.sv.height",12,"wet","IB005toIB008",5761394
7227,2,178348,400138,"avg.sv.height_wet_12_fisherPclump",9.51180044791526e-12,11.0217372695414,"avg.sv.height",12,"wet","IB005toIB008",289243
7229,2,779121,779121,"avg.sv.height_wet_12_fisherPclump",2.58047308695887e-10,9.58830066604421,"avg.sv.height",12,"wet","IB005toIB008",779121
7230,2,405722,405722,"avg.sv.height_wet_12_fisherPclump",4.044161712151e-09,8.3931714867876,"avg.sv.height",12,"wet","IB005toIB008",405722
7231,2,781006,781052,"avg.sv.height_wet_12_fisherPclump",5.31251684402278e-09,8.27469967995254,"avg.sv.height",12,"wet","IB005toIB008",781029
7236,2,396394,514157,"avg.sv.height_wet_12_fisherPclump",4.85245622421842e-08,7.31403837385122,"avg.sv.height",12,"wet","IB005toIB008",455276
16048,3,42326720,42430713,"avg.sv.height_wet_12_fisherPclump",3.12389510887697e-08,7.50530355686923,"avg.sv.height",12,"wet","IB005toIB008",42378716
16180,3,42291051,42431495,"avg.sv.height_wet_12_fisherPclump",6.17065334314261e-08,7.20966885082902,"avg.sv.height",12,"wet","IB005toIB008",42361273
58616,9,53131107,53198860,"avg.sv.height_wet_12_fisherPclump",6.07495153193442e-08,7.21645718266749,"avg.sv.height",12,"wet","IB005toIB008",53164984
7227,2,178348,400138,"avg.sv.height_dry_13_fisherPclump",1.78858514288596e-09,8.74749038109208,"avg.sv.height",13,"dry","IB005toIB008",289243
7230,2,405722,405722,"avg.sv.height_dry_13_fisherPclump",1.43991784763512e-08,7.84166228522177,"avg.sv.height",13,"dry","IB005toIB008",405722
7236,2,396394,514157,"avg.sv.height_dry_13_fisherPclump",5.64818103545599e-09,8.2480913917297,"avg.sv.height",13,"dry","IB005toIB008",455276
7261,2,491032,511567,"avg.sv.height_dry_13_fisherPclump",5.36988573368028e-08,7.27003495559655,"avg.sv.height",13,"dry","IB005toIB008",501300
7280,2,319333,413724,"avg.sv.height_dry_13_fisherPclump",2.84104028154477e-08,7.54652260861124,"avg.sv.height",13,"dry","IB005toIB008",366528
42921,7,15664795,15664795,"avg.sv.height_dry_13_fisherPclump",5.38371221493513e-08,7.26891816327258,"avg.sv.height",13,"dry","IB005toIB008",15664795
39,1,14188681,14374252,"avg.sv.height_wet_13_fisherPclump",1.38283000461984e-08,7.85923120571377,"avg.sv.height",13,"wet","IB005toIB008",14281466
7227,2,178348,400138,"avg.sv.height_wet_13_fisherPclump",1.76593068429526e-17,16.7530263472018,"avg.sv.height",13,"wet","IB005toIB008",289243
7228,2,777852,777852,"avg.sv.height_wet_13_fisherPclump",2.94918303490264e-12,11.5302982730293,"avg.sv.height",13,"wet","IB005toIB008",777852
7229,2,779121,779121,"avg.sv.height_wet_13_fisherPclump",5.72699048206806e-16,15.2420735386588,"avg.sv.height",13,"wet","IB005toIB008",779121
7230,2,405722,405722,"avg.sv.height_wet_13_fisherPclump",9.19144304199419e-13,12.0366162997154,"avg.sv.height",13,"wet","IB005toIB008",405722
7231,2,781006,781052,"avg.sv.height_wet_13_fisherPclump",1.21944439450249e-10,9.91383799831156,"avg.sv.height",13,"wet","IB005toIB008",781029
7232,2,143140,428447,"avg.sv.height_wet_13_fisherPclump",6.67199986404727e-08,7.17574397121977,"avg.sv.height",13,"wet","IB005toIB008",285794
7236,2,396394,514157,"avg.sv.height_wet_13_fisherPclump",5.91722238576816e-09,8.22788210841488,"avg.sv.height",13,"wet","IB005toIB008",455276
7244,2,143604,280883,"avg.sv.height_wet_13_fisherPclump",1.37496283626687e-08,7.86170904017724,"avg.sv.height",13,"wet","IB005toIB008",212244
7258,2,5141527,5147243,"avg.sv.height_wet_13_fisherPclump",3.76528203529641e-08,7.42420248778056,"avg.sv.height",13,"wet","IB005toIB008",5144385
28778,5,5897146,5928214,"avg.sv.height_wet_13_fisherPclump",9.31404202517302e-09,8.03086180685212,"avg.sv.height",13,"wet","IB005toIB008",5912680
28781,5,5818942,5908513,"avg.sv.height_wet_13_fisherPclump",2.49564242061183e-08,7.60281764089667,"avg.sv.height",13,"wet","IB005toIB008",5863728
28782,5,5894348,5909364,"avg.sv.height_wet_13_fisherPclump",6.62044607910402e-08,7.17911274724209,"avg.sv.height",13,"wet","IB005toIB008",5901856
36286,6,29050719,29236430,"avg.sv.height_wet_13_fisherPclump",3.2677883169019e-08,7.48574608426294,"avg.sv.height",13,"wet","IB005toIB008",29143574
43093,7,19037457,19256504,"avg.sv.height_wet_13_fisherPclump",2.52583924685908e-08,7.59759429290326,"avg.sv.height",13,"wet","IB005toIB008",19146980
50068,8,4144036,4146727,"avg.sv.height_wet_13_fisherPclump",7.97053587445791e-08,7.09851247916894,"avg.sv.height",13,"wet","IB005toIB008",4145382
50143,8,4144200,4155655,"avg.sv.height_wet_13_fisherPclump",9.14967375967421e-08,7.03859439084057,"avg.sv.height",13,"wet","IB005toIB008",4149928
7227,2,178348,400138,"avg.sv.height_dry_14_fisherPclump",1.41781033201515e-09,8.84838186313647,"avg.sv.height",14,"dry","IB005toIB008",289243
7230,2,405722,405722,"avg.sv.height_dry_14_fisherPclump",7.04044540593931e-09,8.15239986483193,"avg.sv.height",14,"dry","IB005toIB008",405722
7236,2,396394,514157,"avg.sv.height_dry_14_fisherPclump",4.27277419421446e-08,7.3692900579897,"avg.sv.height",14,"dry","IB005toIB008",455276
7280,2,319333,413724,"avg.sv.height_dry_14_fisherPclump",3.29338842633906e-08,7.48235704503439,"avg.sv.height",14,"dry","IB005toIB008",366528
36282,6,7741182,7805516,"avg.sv.height_dry_14_fisherPclump",4.0449906748481e-08,7.39308247525484,"avg.sv.height",14,"dry","IB005toIB008",7773349
42921,7,15664795,15664795,"avg.sv.height_dry_14_fisherPclump",1.16833511049058e-09,8.93243257181014,"avg.sv.height",14,"dry","IB005toIB008",15664795
42935,7,16993326,17006872,"avg.sv.height_dry_14_fisherPclump",9.36174382075021e-08,7.02864324728856,"avg.sv.height",14,"dry","IB005toIB008",17000099
42946,7,15793312,15854618,"avg.sv.height_dry_14_fisherPclump",5.0560138367122e-08,7.29619174619728,"avg.sv.height",14,"dry","IB005toIB008",15823965
43114,7,15141134,15386885,"avg.sv.height_dry_14_fisherPclump",8.41388582170669e-08,7.0750033857513,"avg.sv.height",14,"dry","IB005toIB008",15264010
16,1,11048290,11064086,"avg.sv.height_wet_14_fisherPclump",3.00584917942645e-08,7.52203281423018,"avg.sv.height",14,"wet","IB005toIB008",11056188
35,1,39989780,40227727,"avg.sv.height_wet_14_fisherPclump",9.45090421027048e-08,7.02452663860767,"avg.sv.height",14,"wet","IB005toIB008",40108754
39,1,14188681,14374252,"avg.sv.height_wet_14_fisherPclump",5.06682959755109e-08,7.29526370121311,"avg.sv.height",14,"wet","IB005toIB008",14281466
145,1,11016452,11027498,"avg.sv.height_wet_14_fisherPclump",6.65646055389805e-08,7.17675663727368,"avg.sv.height",14,"wet","IB005toIB008",11021975
238,1,11051772,11051772,"avg.sv.height_wet_14_fisherPclump",2.22363147196457e-08,7.65293718784277,"avg.sv.height",14,"wet","IB005toIB008",11051772
7227,2,178348,400138,"avg.sv.height_wet_14_fisherPclump",1.38002209080725e-17,16.8601139615416,"avg.sv.height",14,"wet","IB005toIB008",289243
7228,2,777852,777852,"avg.sv.height_wet_14_fisherPclump",1.10916600954693e-11,10.9550034478684,"avg.sv.height",14,"wet","IB005toIB008",777852
7229,2,779121,779121,"avg.sv.height_wet_14_fisherPclump",5.59300332842315e-15,14.2523549222209,"avg.sv.height",14,"wet","IB005toIB008",779121
7230,2,405722,405722,"avg.sv.height_wet_14_fisherPclump",8.6793186835134e-13,12.0615143651004,"avg.sv.height",14,"wet","IB005toIB008",405722
7231,2,781006,781052,"avg.sv.height_wet_14_fisherPclump",4.50770369540007e-11,10.3460446391392,"avg.sv.height",14,"wet","IB005toIB008",781029
7232,2,143140,428447,"avg.sv.height_wet_14_fisherPclump",3.90904287232392e-09,8.40792956642843,"avg.sv.height",14,"wet","IB005toIB008",285794
7235,2,518866,519267,"avg.sv.height_wet_14_fisherPclump",4.60935229282327e-08,7.33636009747709,"avg.sv.height",14,"wet","IB005toIB008",519066
7236,2,396394,514157,"avg.sv.height_wet_14_fisherPclump",1.61251612111932e-09,8.79249593481476,"avg.sv.height",14,"wet","IB005toIB008",455276
7237,2,3342689,3491385,"avg.sv.height_wet_14_fisherPclump",6.73459352742102e-08,7.17168861139241,"avg.sv.height",14,"wet","IB005toIB008",3417037
7239,2,4239020,4302226,"avg.sv.height_wet_14_fisherPclump",2.04119076432854e-08,7.69011640536539,"avg.sv.height",14,"wet","IB005toIB008",4270623
7242,2,3035081,3332192,"avg.sv.height_wet_14_fisherPclump",3.98714061519945e-08,7.39933844772654,"avg.sv.height",14,"wet","IB005toIB008",3183636
7244,2,143604,280883,"avg.sv.height_wet_14_fisherPclump",2.9585264408479e-08,7.52892454500687,"avg.sv.height",14,"wet","IB005toIB008",212244
7256,2,263082,300211,"avg.sv.height_wet_14_fisherPclump",5.06358608728006e-08,7.29554180207386,"avg.sv.height",14,"wet","IB005toIB008",281646
7258,2,5141527,5147243,"avg.sv.height_wet_14_fisherPclump",7.85936691692204e-08,7.10461243558408,"avg.sv.height",14,"wet","IB005toIB008",5144385
7270,2,422451,422451,"avg.sv.height_wet_14_fisherPclump",9.68894517543919e-08,7.01372350152734,"avg.sv.height",14,"wet","IB005toIB008",422451
7285,2,287765,316882,"avg.sv.height_wet_14_fisherPclump",2.3063574706515e-08,7.63707337895824,"avg.sv.height",14,"wet","IB005toIB008",302324
7306,2,551577,630929,"avg.sv.height_wet_14_fisherPclump",2.29544390613575e-08,7.63913331564175,"avg.sv.height",14,"wet","IB005toIB008",591253
23321,4,3817036,3829503,"avg.sv.height_wet_14_fisherPclump",6.8790869686869e-08,7.16246919995844,"avg.sv.height",14,"wet","IB005toIB008",3823270
28778,5,5897146,5928214,"avg.sv.height_wet_14_fisherPclump",1.13848758038948e-08,7.94367170268409,"avg.sv.height",14,"wet","IB005toIB008",5912680
28782,5,5894348,5909364,"avg.sv.height_wet_14_fisherPclump",6.94512358573465e-08,7.15832002175861,"avg.sv.height",14,"wet","IB005toIB008",5901856
36282,6,7741182,7805516,"avg.sv.height_wet_14_fisherPclump",5.19465407901353e-08,7.28444336756351,"avg.sv.height",14,"wet","IB005toIB008",7773349
36285,6,6620869,6665010,"avg.sv.height_wet_14_fisherPclump",5.63350058277007e-08,7.24922165642032,"avg.sv.height",14,"wet","IB005toIB008",6642940
36286,6,29050719,29236430,"avg.sv.height_wet_14_fisherPclump",3.72595702594604e-09,8.42876215843122,"avg.sv.height",14,"wet","IB005toIB008",29143574
42921,7,15664795,15664795,"avg.sv.height_wet_14_fisherPclump",1.64814697894186e-09,8.7830040612693,"avg.sv.height",14,"wet","IB005toIB008",15664795
42923,7,15858050,15860537,"avg.sv.height_wet_14_fisherPclump",2.82111810260066e-08,7.54957873226572,"avg.sv.height",14,"wet","IB005toIB008",15859294
58608,9,53627713,53641195,"avg.sv.height_wet_14_fisherPclump",5.18843497783259e-08,7.28496362153292,"avg.sv.height",14,"wet","IB005toIB008",53634454
7227,2,178348,400138,"avg.sv.height_dry_15_fisherPclump",6.17284982279141e-08,7.20951428871025,"avg.sv.height",15,"dry","IB005toIB008",289243
15760,3,48177179,48210097,"avg.sv.height_dry_15_fisherPclump",2.92239434968898e-08,7.53426118048313,"avg.sv.height",15,"dry","IB005toIB008",48193638
36323,6,7669722,7831605,"avg.sv.height_dry_15_fisherPclump",2.51623704113177e-09,8.59924844875682,"avg.sv.height",15,"dry","IB005toIB008",7750664
9,1,5552038,5559645,"avg.sv.height_wet_15_fisherPclump",2.0289515819532e-08,7.69272831666377,"avg.sv.height",15,"wet","IB005toIB008",5555842
39,1,14188681,14374252,"avg.sv.height_wet_15_fisherPclump",1.04002826735117e-08,7.98295485667449,"avg.sv.height",15,"wet","IB005toIB008",14281466
7227,2,178348,400138,"avg.sv.height_wet_15_fisherPclump",1.60493506574548e-18,17.7945425340746,"avg.sv.height",15,"wet","IB005toIB008",289243
7228,2,777852,777852,"avg.sv.height_wet_15_fisherPclump",7.12480423936985e-12,11.1472270638008,"avg.sv.height",15,"wet","IB005toIB008",777852
7229,2,779121,779121,"avg.sv.height_wet_15_fisherPclump",3.63603790717649e-16,15.4393715977296,"avg.sv.height",15,"wet","IB005toIB008",779121
7230,2,405722,405722,"avg.sv.height_wet_15_fisherPclump",6.98884414021962e-13,12.1555946447168,"avg.sv.height",15,"wet","IB005toIB008",405722
7231,2,781006,781052,"avg.sv.height_wet_15_fisherPclump",7.46387226924936e-13,12.127035801367,"avg.sv.height",15,"wet","IB005toIB008",781029
7232,2,143140,428447,"avg.sv.height_wet_15_fisherPclump",5.96266472308815e-09,8.22455961007509,"avg.sv.height",15,"wet","IB005toIB008",285794
7235,2,518866,519267,"avg.sv.height_wet_15_fisherPclump",2.0032637640661e-08,7.69826186461717,"avg.sv.height",15,"wet","IB005toIB008",519066
7236,2,396394,514157,"avg.sv.height_wet_15_fisherPclump",3.1167293024418e-09,8.50630091590121,"avg.sv.height",15,"wet","IB005toIB008",455276
7239,2,4239020,4302226,"avg.sv.height_wet_15_fisherPclump",8.87927652259542e-11,10.0516224187985,"avg.sv.height",15,"wet","IB005toIB008",4270623
7242,2,3035081,3332192,"avg.sv.height_wet_15_fisherPclump",7.19223454616164e-09,8.14313615825441,"avg.sv.height",15,"wet","IB005toIB008",3183636
7246,2,424326,426944,"avg.sv.height_wet_15_fisherPclump",8.93687766208112e-08,7.04881418713039,"avg.sv.height",15,"wet","IB005toIB008",425635
7249,2,4607371,4821354,"avg.sv.height_wet_15_fisherPclump",1.67108132085294e-08,7.77700241525421,"avg.sv.height",15,"wet","IB005toIB008",4714362
7252,2,2869589,2920887,"avg.sv.height_wet_15_fisherPclump",9.15988379899725e-08,7.03811003569617,"avg.sv.height",15,"wet","IB005toIB008",2895238
7253,2,2054422,2056683,"avg.sv.height_wet_15_fisherPclump",4.65073379976213e-08,7.33247851806814,"avg.sv.height",15,"wet","IB005toIB008",2055552
7256,2,263082,300211,"avg.sv.height_wet_15_fisherPclump",4.11695717472634e-08,7.38542365058249,"avg.sv.height",15,"wet","IB005toIB008",281646
7258,2,5141527,5147243,"avg.sv.height_wet_15_fisherPclump",5.02274326218939e-08,7.29905902026053,"avg.sv.height",15,"wet","IB005toIB008",5144385
7270,2,422451,422451,"avg.sv.height_wet_15_fisherPclump",6.88586429741283e-08,7.16204154036871,"avg.sv.height",15,"wet","IB005toIB008",422451
7272,2,2865451,2872647,"avg.sv.height_wet_15_fisherPclump",6.87966035036311e-08,7.16243300240464,"avg.sv.height",15,"wet","IB005toIB008",2869049
7279,2,1366113,1509505,"avg.sv.height_wet_15_fisherPclump",8.47412695596854e-09,8.07190503386069,"avg.sv.height",15,"wet","IB005toIB008",1437809
7280,2,319333,413724,"avg.sv.height_wet_15_fisherPclump",5.81461764480092e-08,7.23547883815181,"avg.sv.height",15,"wet","IB005toIB008",366528
7285,2,287765,316882,"avg.sv.height_wet_15_fisherPclump",1.71197641261576e-08,7.76650222326949,"avg.sv.height",15,"wet","IB005toIB008",302324
7306,2,551577,630929,"avg.sv.height_wet_15_fisherPclump",5.17676374152282e-10,9.28594165500931,"avg.sv.height",15,"wet","IB005toIB008",591253
7332,2,604530,604670,"avg.sv.height_wet_15_fisherPclump",6.22523046711124e-08,7.20584456571947,"avg.sv.height",15,"wet","IB005toIB008",604600
7335,2,4607639,4633060,"avg.sv.height_wet_15_fisherPclump",1.7869352140287e-08,7.74789119270973,"avg.sv.height",15,"wet","IB005toIB008",4620350
7342,2,524990,635158,"avg.sv.height_wet_15_fisherPclump",1.75111172266703e-08,7.75668614461334,"avg.sv.height",15,"wet","IB005toIB008",580074
7362,2,405207,405505,"avg.sv.height_wet_15_fisherPclump",8.73070609978266e-08,7.05895063111247,"avg.sv.height",15,"wet","IB005toIB008",405356
7400,2,1368810,1622335,"avg.sv.height_wet_15_fisherPclump",4.60408262670334e-08,7.3368568909503,"avg.sv.height",15,"wet","IB005toIB008",1495572
7429,2,4243112,4243112,"avg.sv.height_wet_15_fisherPclump",5.21337848148115e-08,7.28288074496516,"avg.sv.height",15,"wet","IB005toIB008",4243112
7437,2,307993,523140,"avg.sv.height_wet_15_fisherPclump",8.35611601534066e-08,7.07799553895591,"avg.sv.height",15,"wet","IB005toIB008",415566
15776,3,37001897,37033581,"avg.sv.height_wet_15_fisherPclump",5.09345656104716e-08,7.2929873933199,"avg.sv.height",15,"wet","IB005toIB008",37017739
15805,3,26480725,26575554,"avg.sv.height_wet_15_fisherPclump",4.51938531459077e-08,7.34492062993084,"avg.sv.height",15,"wet","IB005toIB008",26528140
16137,3,35727162,35727162,"avg.sv.height_wet_15_fisherPclump",7.63206390869064e-09,8.11735800163265,"avg.sv.height",15,"wet","IB005toIB008",35727162
